rdb_id,lonWGS84,latWGS84,altitude_m,date,precip_mm,precip_type
1,17.20026,45.88358,262,5/2/2009,0,NA
1,17.20026,45.88358,262,1/18/2008,0.1,"liquid (rain, rain shower,drizzle, freezing rain, freezing drizzle, ice pellets, hail)"
1,17.20026,45.88358,262,3/15/2008,0,NA
1,17.20026,45.88358,262,8/25/2009,0,NA
1,17.20026,45.88358,262,6/1/2008,0,NA
1,17.20026,45.88358,262,11/22/2010,3.8,"liquid (rain, rain shower,drizzle, freezing rain, freezing drizzle, ice pellets, hail)"
1,17.20026,45.88358,262,12/15/2009,10.2,"solid (sow, snow shower, ice crystals, snow grains, snow pellets)"
1,17.20026,45.88358,262,7/28/2009,0,NA
1,17.20026,45.88358,262,8/2/2008,0,NA
1,17.20026,45.88358,262,7/31/2008,0,NA
1,17.20026,45.88358,262,6/16/2009,0,NA
1,17.20026,45.88358,262,4/24/2008,0.1,"liquid (rain, rain shower,drizzle, freezing rain, freezing drizzle, ice pellets, hail)"
1,17.20026,45.88358,262,12/14/2010,0,NA
1,17.20026,45.88358,262,7/18/2008,17.2,"liquid (rain, rain shower,drizzle, freezing rain, freezing drizzle, ice pellets, hail)"
1,17.20026,45.88358,262,5/23/2010,0,NA
1,17.20026,45.88358,262,9/5/2009,7.7,"liquid (rain, rain shower,drizzle, freezing rain, freezing drizzle, ice pellets, hail)"
1,17.20026,45.88358,262,9/28/2008,0,NA
1,17.20026,45.88358,262,12/5/2009,0,NA
1,17.20026,45.88358,262,5/20/2009,0.7,"liquid (rain, rain shower,drizzle, freezing rain, freezing drizzle, ice pellets, hail)"
1,17.20026,45.88358,262,12/31/2010,0,precipitation amount = 0.0 (traces)
1,17.20026,45.88358,262,8/29/2008,0,NA
1,17.20026,45.88358,262,9/26/2009,0,NA
1,17.20026,45.88358,262,9/23/2010,0,NA
1,17.20026,45.88358,262,10/22/2009,0,NA
1,17.20026,45.88358,262,7/23/2009,0,NA
1,17.20026,45.88358,262,7/27/2009,0,NA
1,17.20026,45.88358,262,10/24/2009,38.4,"liquid (rain, rain shower,drizzle, freezing rain, freezing drizzle, ice pellets, hail)"
1,17.20026,45.88358,262,10/24/2010,0,NA
1,17.20026,45.88358,262,3/27/2009,1.1,"liquid (rain, rain shower,drizzle, freezing rain, freezing drizzle, ice pellets, hail)"
1,17.20026,45.88358,262,5/29/2009,2.9,"liquid (rain, rain shower,drizzle, freezing rain, freezing drizzle, ice pellets, hail)"
1,17.20026,45.88358,262,6/26/2009,0.3,"liquid (rain, rain shower,drizzle, freezing rain, freezing drizzle, ice pellets, hail)"
2,16.86949,45.90971,141,12/22/2010,0,NA
2,16.86949,45.90971,141,10/26/2009,0,NA
2,16.86949,45.90971,141,6/6/2008,48.4,"liquid (rain, rain shower,drizzle, freezing rain, freezing drizzle, ice pellets, hail)"
2,16.86949,45.90971,141,6/7/2010,0,NA
2,16.86949,45.90971,141,4/11/2009,0,NA
2,16.86949,45.90971,141,1/24/2009,7.7,"liquid, solid and mixed - diferent times during the day ( 1, 2 and 3 )"
2,16.86949,45.90971,141,6/26/2010,2,"liquid (rain, rain shower,drizzle, freezing rain, freezing drizzle, ice pellets, hail)"
2,16.86949,45.90971,141,5/12/2009,0,NA
